|sentence|word|label
269|12|pokosena|O
270|13|Dečko|B-PERSONNEL
271|13|za|I-PERSONNEL
272|13|recepcijom|I-PERSONNEL
273|13|je|O
274|13|zaista|O
275|13|preljubazan|B-PERSONNEL
276|13|i|O
277|13|susretljiv|B-PERSONNEL
278|13|.|O
279|13|Pobrinuo|O
280|13|se|O
281|13|da|O
282|13|imamo|O
283|13|parking|B-LOCATION
284|13|,|O
285|13|mogli|O
286|13|smo|O
287|13|ranije|O
288|13|da|O
289|13|se|O
290|13|presvucemo|O
291|13|i|O
292|13|ostavimo|O
293|13|stvari|O
294|13|,|O
295|13|pobrinuo|O
296|13|se|O
297|13|da|O
298|13|nam|O
299|13|nadje|O
300|13|taxi|O
301|13|.|O
302|13|Apartman|B-FURNITURE
303|13|je|O
304|13|dovoljno|O
305|13|veliki|O
306|13|,|O
307|13|a|O
308|13|kuhinja|B-FURNITURE
309|13|je|O
310|13|dobro|O
311|13|opremljena|O
312|13|.|O
313|14|Najveca|O
314|14|zamerka|O
315|14|je|O
316|14|na|O
317|14|veliki|B-HYGIENE
318|14|broj|I-HYGIENE
319|14|mrava|I-HYGIENE
320|14|u|O
321|14|apartmanu|O
322|14|.|O
323|14|To|O
324|14|je|O
325|14|islo|O
326|14|dotle|O
327|14|da|O
328|14|celu|O
329|14|noc|O
330|14|nisam|O
331|14|mogla|O
332|14|normalno|O
333|14|da|O
334|14|spavam|O
335|14|posto|O
336|14|su|O
337|14|mravi|B-HYGIENE
338|14|gmizali|O
339|14|po|O
340|14|meni|O
341|14|.|O
342|14|To|O
343|14|je|O
344|14|zaista|O
345|14|neprihvatljivo|O
346|14|i|O
347|14|za|O
348|14|najgore|O
349|14|hostele|O
350|14|,|O
351|14|a|O
352|14|ne|O
353|14|za|O
354|14|ovakav|O
355|14|smestaj|O
356|14|.|O
357|14|Ujutru|O
358|14|sam|O
359|14|mrave|B-HYGIENE
360|14|izbacivala|O
361|14|iz|O
362|14|torbe|O
363|14|,|O
364|14|sa|O
365|14|laptopa|O
366|14|itd|O
367|14|.|O
368|14|U|O
369|14|smestaju|O
370|14|je|O
371|14|uvece|O
372|14|hladno|O
373|14|,|O
374|14|dnevnu|O
375|14|sobu|O
376|14|i|O
377|14|kuhinju|O
378|14|greje|O
379|14|samo|O
380|14|jedan|O
381|14|mali|O
382|14|radijator|B-FURNITURE
383|14|sto|O
384|14|nije|O
385|14|dovoljno|O
386|14|.|O
387|14|Takodje|O
388|14|na|O
389|14|slikama|O
390|14|smestaja|O
391|14|ima|O
392|14|bazen|B-FURNITURE
393|14|,|O
394|14|ali|O
395|14|je|O
396|14|to|O
397|14|bazen|B-FURNITURE
398|14|koji|O
399|14|je|O
400|14|u|O
401|14|Milmari|O
402|14|hotelu|O
403|14|udaljenom|O
404|14|2km|B-LOCATION
405|14|od|I-LOCATION
406|14|vile|I-LOCATION
407|14|,|O
408|14|a|O
409|14|ovoga|O
410|14|puta|O
411|14|nije|O
412|14|ni|O
413|14|radio|O
414|14|sto|O
415|14|nigde|O
416|14|nije|O
417|14|pisalo|O
418|14|prilikom|O
419|14|rezervacije|O
420|14|.|O
421|15|Apartman|B-FURNITURE
422|15|je|O
423|15|nov|O
424|15|i|O
425|15|cist|O
426|15|.|O
427|15|Pogled|B-LOCATION
428|15|je|O
429|15|divan|O
430|15|.|O
431|15|Prevoz|B-LOCATION
432|15|do|I-LOCATION
433|15|centra|I-LOCATION
434|15|dobro|O
435|15|funkcionise|O
436|15|.|O
437|15|Osoblje|B-PERSONNEL
438|15|je|O
439|15|fino|O
440|15|.|O
441|16|Bilo|O
442|16|bi|O
443|16|pozeljno|O
444|16|da|O
445|16|svaka|O
446|16|soba|O
447|16|poseduje|O
448|16|cajnik|B-FURNITURE
449|16|i|O
450|16|mikrotalasnu|B-FURNITURE
451|16|pec|I-FURNITURE
452|16|i|O
453|16|da|O
454|16|su|O
455|16|parking|O
456|16|mesta|O
457|16|bolje|O
458|16|definisana|O
459|16|i|O
460|16|sredjena|O
461|16|.|O
462|17|.|O
463|17|.|O
464|17|nismo|O
465|17|dobili|O
466|17|apartman|B-FURNITURE
467|17|koji|O
468|17|smo|O
469|17|rezervisali|O
470|17|uz|O
471|17|objašnjenje|O
472|17|da|O
473|17|im|O
474|17|je|O
475|17|""""|O
476|17|gužva|B-PERSONNEL
477|17|""""|O
478|17|i|O
479|17|da|O
480|17|se|O
481|17|u|O
482|17|istoj|O
483|17|nisu|O
484|17|baš|O
485|17|najbolje|O
486|17|snašli|O
487|17|.|O
488|17|Jedina|O
489|17|svetla|O
490|17|tačka|O
491|17|je|O
492|17|bila|O
493|17|gospođa|B-PERSONNEL
494|17|Biljana|I-PERSONNEL
495|17|koja|O
496|17|nas|O
497|17|je|O
498|17|dočekala|O
499|17|i|O
500|17|pokušala|O
501|17|da|O
502|17|ublaži|O
503|17|propuste|O
504|17|od|O
505|17|njenih|O
506|17|kolega|O
507|17|.|O
508|17|.|O
509|17|i|O
510|17|još|O
511|17|da|O
512|17|napomenem|O
513|17|da|O
514|17|je|O
515|17|gospođa|B-PERSONNEL
516|17|Biljana|I-PERSONNEL
517|17|radnik|B-PERSONNEL
518|17|na|I-PERSONNEL
519|17|recepciji|I-PERSONNEL
520|17|,|O
521|17|spremačica|B-PERSONNEL
522|17|,|O
523|17|domar|B-PERSONNEL
524|17|,|O
525|17|domaćin|B-PERSONNEL
526|17|.|O
527|17|.|O
528|18|Čist|B-HYGIENE
529|18|,|O
530|18|uređen|B-HYGIENE
531|18|,|O
532|18|moderan|B-FURNITURE
533|18|i|O
534|18|udoban|B-FURNITURE
535|18|smeštaj|B-FURNITURE
536|18|.|O
537|18|Idealan|O
538|18|za|O
539|18|porodice|O
540|18|sa|O
541|18|decom|O
542|18|.|O
543|18|Peđa|B-PERSONNEL
544|18|koji|O
545|18|nas|O
546|18|je|O
547|18|dočekao|O
548|18|nam|O
549|18|je|O
550|18|dao|O
551|18|dosta|O
552|18|korisnih|O
553|18|informacija|O
554|18|i|O
555|18|bio|O
556|18|sve|O
557|18|vreme|O
558|18|na|B-PERSONNEL
559|18|raspolaganju|I-PERSONNEL
560|18|.|O
561|18|Lokacija|B-LOCATION
562|18|odlična|O
563|18|.|O
564|18|Generalno|O
565|18|Divčibare|B-LOCATION
566|18|su|O
567|18|pravi|O
568|18|odmor|O
569|18|za|O
570|18|dušu|O
571|18|-|O
572|18|čist|B-LOCATION
573|18|vazduh|I-LOCATION
574|18|,|O
575|18|bez|O
576|18|gužve|O
577|18|,|O
578|18|sadržaja|O
579|18|taman|O
580|18|koliko|O
581|18|treba|O
582|18|.|O
583|19|Izuzetna|O
584|19|blizina|B-LOCATION
585|19|planine|I-LOCATION
586|19|sa|O
587|19|lepim|O
588|19|skijalištima|B-LOCATION
589|19|!|O
590|19|Ljubaznost|B-PERSONNEL
591|19|osoblja|I-PERSONNEL
592|19|,|O
593|19|meštana|O
594|19|,|O
595|19|radnika|O
596|19|,|O
597|19|skijalištima|O
598|19|I|O
599|19|po|O
600|19|restoranima|O
601|19|!|O
602|20|Idealan|O
603|20|produženi|O
604|20|vikend|O
605|20|!|O
606|20|Sve|O
607|20|!|O
608|20|Istakli|O
609|20|bi|O
610|20|ljubaznost|B-PERSONNEL
611|20|domaćina|I-PERSONNEL
612|20|!|O
613|21|Veoma|O
614|21|lep|O
615|21|,|O
616|21|čist|B-HYGIENE
617|21|i|O
618|21|udoban|B-FURNITURE
619|21|smeštaj|I-FURNITURE
620|21|.|O
621|21|Domaćin|B-PERSONNEL
622|21|ljubazan|I-PERSONNEL
623|21|.|O
624|21|Sve|O
625|21|preporuke|O
626|21|za|O
627|21|boravak|O
628|21|sa|O
629|21|decom|O
630|21|.|O
631|22|Objekat|O
632|22|i|O
633|22|lokacija|B-LOCATION
634|22|.|O
635|23|Apartman|B-FURNITURE
636|23|je|O
637|23|vrlo|O
638|23|čist|B-HYGIENE
639|23|,|O
640|23|udoban|B-FURNITURE
641|23|,|O
642|23|topao|O
643|23|.|O
644|23|Na|B-LOCATION
645|23|lepom|I-LOCATION
646|23|je|I-LOCATION
647|23|mestu|I-LOCATION
648|23|.|O
649|23|Prijatno|O
650|23|i|O
651|23|za|O
652|23|odrasle|O
653|23|i|O
654|23|za|O
655|23|decu|O
656|23|.|O
657|23|Sve|O
658|23|pohvale|O
659|23|zaista|O
660|23|!|O
661|23|Sigurno|O
662|23|ćemo|O
663|23|opet|O
664|23|doći|O
665|23|!|O
666|24|Sve|O
667|24|je|O
668|24|bilo|O
669|24|perfektno|O
670|24|.|O
671|24|Domaćini|B-PERSONNEL
672|24|veoma|I-PERSONNEL
673|24|ljubazni|I-PERSONNEL
674|24|,|O
675|24|srdačni|B-PERSONNEL
676|24|i|O
677|24|uvek|B-PERSONNEL
678|24|dostupni|I-PERSONNEL
679|24|.|O
680|24|Za|O
681|24|svaku|O
682|24|moguću|O
683|24|preporuku|O
684|24|i|O
685|24|pohvalu|O
686|24|!|O
687|25|Odlicna|O
688|25|lokacija|B-LOCATION
689|25|,|O
690|25|dogovor|O
691|25|sa|O
692|25|DivciBarom|B-LOCATION
693|25|za|O
694|25|rucak|B-FOOD
695|25|sa|O
696|25|povlascenim|B-PRICE
697|25|cenama|I-PRICE
698|25|.|O
699|26|Pravi|O
700|26|odmor|O
701|26|za|O
702|26|zaposlene|O
703|26|,|O
704|26|šetnja|O
705|26|i|O
706|26|boravak|B-LOCATION
707|26|u|I-LOCATION
708|26|prirodi|I-LOCATION
709|26|Sve|B-LOCATION
710|26|vam|I-LOCATION
711|26|je|I-LOCATION
712|26|blizu|I-LOCATION
713|26|i|O
714|26|mir|O
715|26|i|O
716|26|tišina|O
717|27|Čistoća|B-HYGIENE
718|27|,|O
719|27|ljubaznost|B-PERSONNEL
720|27|domaćina|I-PERSONNEL
721|27|.|O
722|27|Lokacija|B-LOCATION
723|27|je|O
724|27|odlična|O
725|27|i|O
726|27|okolina|B-LOCATION
727|27|apartmana|O
728|27|je|O
729|27|odlična|O
730|27|.|O
731|28|Manjak|O
732|28|TV|B-FURNITURE
733|28|kanala|I-FURNITURE
734|28|,|O
735|28|manjak|O
736|28|posudja|B-FURNITURE
737|28|.|O
738|29|Lepa|O
739|29|vikendica|B-FURNITURE
740|29|na|B-LOCATION
741|29|dva|I-LOCATION
742|29|minuta|I-LOCATION
743|29|od|I-LOCATION
744|29|Mećavnika|I-LOCATION
745|29|,|O
746|29|ljubazni|B-PERSONNEL
747|29|domaćini|I-PERSONNEL
748|29|,|O
749|29|ništa|O
750|29|nam|O
751|29|nije|O
752|29|falilo|O
753|29|u|O
754|29|vikendici|O
755|29|,|O
756|29|lep|O
757|29|i|O
758|29|prijatan|O
759|29|porodični|O
760|29|odmor|O
761|29|od|O
762|29|pet|O
763|29|dana|O
764|29|.|O
765|30|Sjajna|O
766|30|lokacija|B-LOCATION
767|30|,|O
768|30|prelepa|O
769|30|i|O
770|30|topla|O
771|30|brvnara|B-FURNITURE
772|30|i|O
773|30|divni|B-PERSONNEL
774|30|domaćini|I-PERSONNEL
775|30|.|O
776|30|Baš|O
777|30|smo|O
778|30|uživali|O
779|30|.|O
780|31|Odlično|O
781|31|mesto|O
782|31|za|O
783|31|odmor|O
784|31|!|O
785|31|Uživali|O
786|31|u|O
787|31|tišini|O
788|31|i|O
789|31|prelepoj|B-LOCATION
790|31|prirodi|I-LOCATION
791|31|.|O
792|31|Za|O
793|31|one|O
794|31|koji|O
795|31|to|O
796|31|vole|O
797|31|,|O
798|31|dodatnu|O
799|31|udobnost|O
800|31|stvara|O
801|31|i|O
802|31|peć|B-FURNITURE
803|31|na|I-FURNITURE
804|31|drva|I-FURNITURE
805|31|.|O
806|31|U|O
807|31|kući|O
808|31|ima|O
809|31|dovoljno|O
810|31|posuđa|B-FURNITURE
811|31|i|O
812|31|začina|B-FOOD
813|31|kao|O
814|31|i|O
815|31|svega|O
816|31|što|O
817|31|može|O
818|31|da|O
819|31|vam|O
820|31|zatreba|O
821|31|a|O
822|31|ni|O
823|31|dragstori|B-LOCATION
824|31|nisu|O
825|31|daleko|O
826|31|.|O
827|31|.|O
828|32|Francuski|B-FURNITURE
829|32|ležaj|I-FURNITURE
830|32|je|O
831|32|u|O
832|32|sobi|B-FURNITURE
833|32|na|O
834|32|spratu|O
835|32|iako|O
836|32|postoji|O
837|32|još|O
838|32|jedna|O
839|32|soba|B-FURNITURE
840|32|u|O
841|32|prizemlju|O
842|32|koja|O
843|32|je|O
844|32|dovoljno|O
845|32|velika|O
846|32|za|O
847|32|takav|O
848|32|krevet|B-FURNITURE
849|32|i|O
850|32|što|O
851|32|bi|O
852|32|zbog|O
853|32|grejanja|B-FURNITURE
854|32|bilo|O
855|32|prijatnije|O
856|32|u|O
857|32|zimskom|B-WEATHER
858|32|periodu|I-WEATHER
859|32|.|O
860|33|Lokacija|B-LOCATION
861|33|je|O
862|33|odlična|O
863|33|.|O
864|34|Nemam|O
865|34|primedbi|O
866|34|.|O
867|35|Domaćini|B-PERSONNEL
868|35|su|O
869|35|bili|O
870|35|super|O
871|35|.|O
872|35|Šporet|B-FURNITURE
873|35|(|O
874|35|štednjak|B-FURNITURE
875|35|)|O
876|35|su|O
877|35|prethodno|O
878|35|založili|O
879|35|i|O
880|35|baš|O
881|35|je|O
882|35|bilo|O
883|35|toplo|O
884|35|,|O
885|35|iako|O
886|35|imaju|O
887|35|grejanje|O
888|35|na|O
889|35|struju|O
890|35|i|O
891|35|nije|O
892|35|bilo|O
893|35|potrebe|O
894|35|ali|O
895|35|je|O
896|35|bilo|O
897|35|autentično|O
898|35|.|O
899|35|Prostor|O
900|35|je|O
901|35|ogroman|O
902|35|,|O
903|35|ima|O
904|35|mesta|O
905|35|za|O
906|35|višečlanu|O
907|35|porodicu|O
908|35|ili|O
909|35|više|O
910|35|parova|O
911|35|.|O
912|35|Parking|B-LOCATION
913|35|je|O
914|35|u|O
915|35|dvorištu|O
916|35|tako|O
917|35|da|O
918|35|je|O
919|35|auto|O
920|35|na|O
921|35|sigurnom|O
922|35|.|O
923|36|Sve|O
924|36|je|O
925|36|bilo|O
926|36|izuzuzetno|O
927|37|Čistoća|B-HYGIENE
928|37|i|O
929|37|prostranost|O
930|37|obejkta|O
931|37|.|O
932|37|Poseban|O
933|37|doživljaj|O
934|37|je|O
935|37|što|O
936|37|je|O
937|37|sve|O
938|37|od|B-FURNITURE
939|37|drveta|I-FURNITURE
940|37|.|O
941|38|Uredno|O
942|38|,|O
943|38|cisto|O
944|38|,|O
945|38|u|O
946|38|mirnom|O
947|38|delu|O
948|38|Mokre|B-LOCATION
949|38|Gore|I-LOCATION
950|38|.|O
951|38|Sve|O
952|38|preporuke|O
953|38|.|O
954|38|Imali|O
955|38|smo|O
956|38|mir|O
957|38|i|O
958|38|udobnost|O
959|38|.|O
960|38|Domacini|B-PERSONNEL
961|38|divni|O
962|38|.|O
963|38|Sigurno|O
964|38|se|O
965|38|vracamo|O
966|38|.|O
967|38|😉|O
968|39|Sve|O
969|39|pohvale|O
970|40|Jedina|O
971|40|mana|O
972|40|je|O
973|40|bila|O
974|40|zvucna|B-FURNITURE
975|40|izolacija|I-FURNITURE
976|40|,|O
977|40|tj|O
978|40|ne|O
979|40|postoji|O
980|40|,|O
981|40|zvuk|O
982|40|se|O
983|40|ne|O
984|40|smanjuje|O
985|40|kroz|O
986|40|zidove|O
987|40|.|O
988|40|A|O
989|40|bilo|O
990|40|bi|O
991|40|i|O
992|40|savrseno|O
993|40|da|O
994|40|su|O
995|40|svi|O
996|40|zidovi|B-FURNITURE
997|40|u|I-FURNITURE
998|40|lamperiji|I-FURNITURE
999|40|.|O
1000|40|.|O
1001|40|.|O
1002|40|ovo|O
1003|40|nije|O
1004|40|mana|O
1005|40|vec|O
1006|40|sugestija|O
1007|40|:|O
1008|40|)|O
1009|41|Ljubaznost|B-PERSONNEL
1010|41|zaposlenih|I-PERSONNEL
1011|41|1|O
1012|41|beograd|B-LOCATION
1013|41|-|O
1014|41|apart|O
1015|41|k|O
1016|41|aoartments|O
1017|41|&|O
1018|41|rooms|O
1019|41|(|O
1020|41|5|O
1021|41|-|O
1022|41|7|O
1023|41|)|O
1024|41|Aerodrom|B-LOCATION
1025|41|je|O
1026|41|blizu|O
1027|41|Osoblje|B-PERSONNEL
1028|41|je|O
1029|41|fantastično|O
1030|41|i|O
1031|41|uvek|O
1032|41|na|B-PERSONNEL
1033|41|usluzi|I-PERSONNEL
1034|41|.|O
1035|41|Lako|O
1036|41|smo|O
1037|41|se|O
1038|41|dogovorili|O
1039|41|oko|O
1040|41|svih|O
1041|41|detalja|O
1042|41|koji|O
1043|41|su|O
1044|41|mi|O
1045|41|bili|O
1046|41|važni|O
1047|41|pre|O
1048|41|odlaska|O
1049|41|na|O
1050|41|aerodrom|B-LOCATION
1051|41|.|O
1052|42|Soba|B-FURNITURE
1053|42|je|O
1054|42|mala|O
1055|42|,|O
1056|42|utičnica|B-FURNITURE
1057|42|je|O
1058|42|visoko|O
1059|42|,|O
1060|42|pa|O
1061|42|je|O
1062|42|malo|O
1063|42|nezgodno|O
1064|42|.|O
1065|42|Kupatilo|B-FURNITURE
1066|42|je|O
1067|42|u|O
1068|42|redu|O
1069|42|,|O
1070|42|mada|O
1071|42|sam|O
1072|42|očekivala|O
1073|42|da|O
1074|42|je|O
1075|42|soba|B-FURNITURE
1076|42|prostranija|O
1077|42|.|O
1078|42|Pojedine|O
1079|42|sprave|B-FURNITURE
1080|42|u|I-FURNITURE
1081|42|teretani|I-FURNITURE
1082|42|nisu|O
1083|42|valjano|O
1084|42|radile|O
1085|42|,|O
1086|42|a|O
1087|42|i|O
1088|42|spa|O
1089|42|i|O
1090|42|wellness|B-FURNITURE
1091|42|centar|I-FURNITURE
1092|42|su|O
1093|42|bili|O
1094|42|zatvoreni|O
1095|42|.|O
1096|42|U|O
1097|42|restoranu|B-FOOD
1098|42|sam|O
1099|42|čekala|O
1100|42|45|O
1101|42|minuta|O
1102|42|da|O
1103|42|mi|O
1104|42|se|O
1105|42|donese|O
1106|42|porudžbina|O
1107|42|jer|O
1108|42|nemaju|O
1109|42|kuhinju|B-FOOD
1110|42|u|O
1111|42|hotelu|O
1112|42|već|O
1113|42|iz|O
1114|42|eksternog|O
1115|42|restorana|B-FOOD
1116|42|dostavljaju|O
1117|42|hranu|B-FOOD
1118|42|.|O
1119|43|Sve|O
1120|43|bilo|O
1121|43|onako|O
1122|43|kako|O
1123|43|je|O
1124|43|predstavljeno|O
1125|43|.|O
1126|44|Dorucak|B-FOOD
1127|44|ok|O
1128|45|Soba|B-FURNITURE
1129|45|u|O
1130|45|suturenu|O
1131|45|iznad|O
1132|45|koje|O
1133|45|se|O
1134|45|nalazi|O
1135|45|kompletna|O
1136|45|rashlada|O
1137|46|Dorucak|B-FOOD
1138|46|odlican|O
1139|46|,|O
1140|46|lokacija|B-LOCATION
1141|46|ne|O
1142|46|bas|O
1143|47|Bilo|O
1144|47|komaraca|O
1145|47|u|O
1146|47|sobi|O
1147|48|Udoban|O
1148|48|krevet|B-FURNITURE
1149|48|,|O
1150|48|odliČan|O
1151|48|dorucak|B-FOOD
1152|48|Lep|O
1153|48|akvarijum|O
1154|49|Nije|O
1155|49|radila|O
1156|49|kablovska|B-FURNITURE
1157|49|i|O
1158|49|nije|O
1159|49|bilo|O
1160|49|tople|O
1161|49|vode|O
1162|50|Dopalo|O
1163|50|nam|O
1164|50|se|O
1165|50|to|O
1166|50|što|O
1167|50|smo|O
1168|50|imali|O
1169|50|obezbijeđen|O
1170|50|parking|B-LOCATION
1171|50|,|O
1172|50|grijanje|B-FURNITURE
1173|50|je|O
1174|50|bilo|O
1175|50|dobro|O
1176|50|.|O
1177|51|Morali|O
1178|51|su|O
1179|51|da|O
1180|51|nam|O
1181|51|zamijene|O
1182|51|hotel|O
1183|51|jedan|O
1184|51|dan|O
1185|51|prije|O
1186|51|puta|O
1187|51|što|O
1188|51|nam|O
1189|51|nije|O
1190|51|ostavilo|O
1191|51|dovoljno|O
1192|51|vremena|O
1193|51|da|O
1194|51|pronađemo|O
1195|51|alternativni|O
1196|51|smještaj|O
1197|51|već|O
1198|51|smo|O
1199|51|morali|O
1200|51|da|O
1201|51|prihvatimo|O
1202|51|njihovu|O
1203|51|alternativu|O
1204|51|i|O
1205|51|da|O
1206|51|budemo|O
1207|51|smješteni|O
1208|51|u|O
1209|51|njihovom|O
1210|51|drugom|O
1211|51|hotelu|O
1212|51|koji|O
1213|51|je|O
1214|51|manje|O
1215|51|kvalitetan|O
1216|51|.|O
1217|51|10|O
1218|51|dana|O
1219|51|smo|O
1220|51|imali|O
1221|51|isti|O
1222|51|doručak|B-FOOD
1223|51|.|O
1224|52|Ljudi|B-PERSONNEL
1225|52|su|O
1226|52|stvarno|O
1227|52|bili|O
1228|52|za|O
1229|52|pohvalu|O
1230|52|.|O
1231|52|Lanč|B-PERSONNEL
1232|52|paket|I-PERSONNEL
1233|52|me|O
1234|52|je|O
1235|52|čekao|O
1236|52|u|O
1237|52|3|O
1238|52|ujutru|O
1239|52|na|O
1240|52|recepciji|O
1241|52|.|O
1242|52|Devojka|B-PERSONNEL
1243|52|na|I-PERSONNEL
1244|52|recepciji|I-PERSONNEL
1245|52|ljubazna|I-PERSONNEL
1246|52|,|O
1247|52|uslužna|B-PERSONNEL
1248|52|.|O
1249|52|.|O
1250|52|.|O
1251|53|Soba|B-FURNITURE
1252|53|je|O
1253|53|de|O
1254|53|-|O
1255|53|facto|O
1256|53|u|O
1257|53|podrumu|O
1258|53|.|O
1259|53|Prozorče|B-FURNITURE
1260|53|na|O
1261|53|2|O
1262|53|.|O
1263|53|5m|O
1264|53|visine|O
1265|53|i|O
1266|53|to|O
1267|53|pored|B-LOCATION
1268|53|kolovoza|I-LOCATION
1269|53|za|I-LOCATION
1270|53|parking|I-LOCATION
1271|53|,|O
1272|53|u|O
1273|53|njegovom|O
1274|53|nivou|O
1275|53|.|O
