title|review|sentiment
Neutralno|Nemam primedbi.|0	
Izuzetan|Domaćini su bili super. Šporet (štednjak) su prethodno založili i baš je bilo toplo, iako imaju grejanje na struju i nije bilo potrebe ali je bilo autentično. Prostor je ogroman, ima mesta za višečlanu porodicu ili više parova. Parking je u dvorištu tako da je auto na sigurnom.	|1
Fantastičan boravak|Sve je bilo izuzuzetno|1	
Lepo iskustvo|Čistoća i prostranost obejkta. Poseban doživljaj je što je sve od drveta.|1
Izuzetan|Uredno, cisto, u mirnom delu Mokre Gore. Sve preporuke. Imali smo mir i udobnost. Domacini divni. Sigurno se vracamo. 😉|1	
Izuzetan|Sve pohvale|1
Izvanredan|Jedina mana je bila zvucna izolacija, tj ne postoji, zvuk se ne smanjuje kroz zidove. A bilo bi i savrseno da su svi zidovi u lamperiji...ovo nije mana vec sugestija :)|0
Dobar|Ljubaznost zaposlenih	1	beograd - apart k aoartments & rooms (5-7) Aerodrom je blizu 	Osoblje je fantastično i uvek na usluzi. Lako smo se dogovorili oko svih detalja koji su mi bili važni pre odlaska na aerodrom.|1
Lose|Soba je mala, utičnica je visoko, pa je malo nezgodno. Kupatilo je u redu, mada sam očekivala da je soba prostranija. Pojedine sprave u teretani nisu valjano radile, a i spa i wellness centar su bili zatvoreni. U restoranu sam čekala 45 minuta da mi se donese porudžbina jer nemaju kuhinju u hotelu već iz eksternog restorana dostavljaju hranu.|-1
Dobar|Sve bilo onako kako je predstavljeno.|0
Dobar|Dorucak ok|0
Neutralno|Soba u suturenu iznad koje se nalazi kompletna rashlada|0
Dobar|Dorucak odlican,lokacija ne bas|0	
Lose|Bilo komaraca u sobi|-1	
Dobar|"Udoban krevet,odliČan dorucak Lep akvarijum"|1
Lose|Nije radila kablovska i nije bilo tople vode|-1	
Prosječan|Dopalo nam se to što smo imali obezbijeđen parking, grijanje je bilo dobro.|1
Lose|Morali su da nam zamijene hotel jedan dan prije puta što nam nije ostavilo dovoljno vremena da pronađemo alternativni smještaj već smo morali da prihvatimo njihovu alternativu i da budemo smješteni u njihovom drugom hotelu koji je manje kvalitetan. 10 dana smo imali isti doručak.|-1
Prihvatljiv|Ljudi su stvarno bili za pohvalu. Lanč paket me je čekao u 3 ujutru na recepciji. Devojka na recepciji ljubazna, uslužna...|1
Lose|Soba je de-facto u podrumu. Prozorče na 2.5m visine i to pored kolovoza za parking, u njegovom nivou.|-1
Lose|Tri puta sam boravio kod vas i svaki sledeci je bio znatno lošiji od prethodnog. Podrumski smještaj iako sam rezervisao mnogo ranije. U tuš kabini se zadržava voda, prozori, iako podrumski, u tuš kabini i wc bez zastora, rijedak zastor na prozoru sobe, pored jednog kreveta nema noćne lampe, oko vrata prodire svijetlo čitavu noć.|-1
Izvanredno|Osoblje odlično, doručak izvanredan.|1
Soba u podrumu?!|"Soba 002 je u podrumu sa minimumom prirodnog svjetla, a naplaćena je kao bilo koja normalna soba. Jako neugodno iznenađenje. Buđ u tuš kabini je uračunata u cijenu. Prilaz hotelu je veoma nezgodan iz pravca aerodroma jer se nalazi doslovno usred prometne raskrsnice."|-1
Izuzetno|Osoblje hotela je ljubazno, parking je dobar, a doručak je sasvim pristojan.|1
Veoma dobar|" Osoblje je preljubazno. Pozicija hotela odlicna,za svega par minuta hoda stize se do centra grada. Dorucak bogat i raznovrstan. Sve preporuke!"|1
Izvanredan|Skoro sve|1
Lose|Pogled sa prozora|-1
9+|Lokacija, osoblje, doručak|1
Lose|Minijaturna soba|-1
Doći ću ponovo|Lokacija|1
Hotel je izvrstan. Mi smo bili vec dva puta. Izvrsna lokacija u samom centru grada.|"Hotel je izvrstan. Mi smo bili vec dva puta. Izvrsna lokacija u samom centru grada. Kvalitetan i bogat dorucak. Preporucujem!"|1
Izvanredan|Lokacija i osoblje👍|1
Izvanredan|Vrlo ljubzno osoblje, cisto, dobra lokacija|1
Lose|sobe su zaista premale, dorucak oskudan|-1
Ugodan boravak |"Lokacija fantastična. Ima sauna. (Ima I teretana ali trenurno zatvorena ) Čisto i uredno. Vrlo ugodan boravak. Osoblje veoma srdačno. Naručila sam iz restorana salate za room service i bile su vrlo ukusne !!"|1
Lose|Jastuci su pre mekani. Pitala sam na recepciji ali rekli su da samo te imaju. Sobe za jednu osobu su veoma male. Doručak je bio dobar ali kada sam pitala za svježe napravljena jaja rekli su da moram doplatiti.|-1
Sve u svemu boravak u hotelu je bio iznimno ugodan.|Lokacija hotela je izvanredna. Sve je dostupno na pješačkoj udaljenosti. Osoblje hotela je vrlo ljubazno i uslužno. Sobe su čiste, uredne, imaju sve što vam je potrebno. Jedina mana hotela je malo slabiji doručak (ali je ok, s obzirom na covid mjere). Parking je također problematičan, ukoliko na vrijeme niste rezervisali neko od dostupnih hotelskih mjesta (nemaju ih dovoljno pa se morate parkirati na nekom od javnih parkinga u blizini).|0
Lose|Manjak parking mjesta hotela je problematičan, što je, čini se, slučaj kod većine gradskih hotela. Trebali bi navesti da je broj parkirnih mjesta ograničen i da ih čuvaju po redoslijedu prijava i rezervacija.|-1
Izvanredno|Par, Podgorica 	Mlad i ljubazan personal, čisto i uredno, korektan doručak, operativan parking, blizina atraktivnih lokacija, šetalište pored Save na 10 minuta hoda, pješačka zona Kosančićev-Obilićev sa raznovrsnom ponudom restorana i kafića na 5 minuta hoda...toplo preporučujem.|1
Izvanredno|Nemam zamjerki|1
Prostran apartman, lepo uređan, prijatni domaćini :)|Prostran apartman, lepo uređan, prijatni domaćini :)|1
Izvanredan|"Lokacija, kreveti udobni, klima . Takodje svidelo mi se sto ima papuče"|1
Lose|Kupatilu mozda fali neka grejalica, ume da bude hladno|-1
Izuzetan|Локација, удобни кревети и јастуци.|1
Лоше|Било је хладно. Инвертер клима није довољна да загреје цео простор. Стрмо степениште|-1
Izuzetan|Top lokacija ,dobri domaćini , sve pohvale ...|1
Odlično|Fenomenalan smeštaj u samom centru, odmah pored šetališta. Sve je bilo čisto i lepo sređeno. Domaćin Nemanja je bio veoma ljubazan.|1
Izuzetan|Dobra lokacija. Čist apartman. Gazdarica prijatna.|1
Lose|Bucni gosti|-1
Ispod svih očekivanja, sve osim lokacije.|smeštaj mnogo manji nego što je prikazano na fotografijama, vešto fotografisano. To je u stvari samo soba sa franc.ležajem, bez predsoblja, a prozor na sobi gleda na fasadu susedne kuće udaljene pola metra !|-1
Izvanredno|lokacija izuzetna, strogi centar, kroz pasaž iz Dunavske ulice|1
Prijatan|Bilo je cisto i cisto je kupatilo.tv je ok.|1
Lose|Ozbiljna buka iznad smestaja i to sto nam nije receno da nema klima uredjaja.|-1
Izuzetan|Sve je bilo odlicno. 🙂|1
Super|Sve je biloo super domacin jos bolji|1
Izuzetan|Prostor je odličan, a sobe veoma prostrane. Sauna i jaccuzi odlični. Higijena na nivou. Domaćin opušten i ljubazan. Svakom bih preporučila😊|1
Bilo nam je lepo! |Kada je extra i ima dovoljno tople vode.|1
Lose|Roletne bi mogle bolje da funkcionišu.|-1
Sve u svemu...lep dan! |"Gazda je zakon! Sinovi malo vise da se aktiviraju oko posla!"|1
Lose|Dorucak da se ubaci u smestaj|-1
Izuzetan|Sva je zaista bilo potpuno savrseno, jos je lepse uzivo nego na slikama. Sadrzaji objekta super, domacin vrlo ljubazan. Zaista svaka preporuka, vredelo je svakog dinara. Vraticemo se sigurno. 😊|1
Izuzetno|Odlična lokacija. Parking.|1
Razočarani|Prilikom dolaska, još torbu nismo spustili i domaćin je odmah napomenuo u drugoj rečenici razgovora, da se odmah naplaćuju usluge apartmana, koji i nije apartman, već dve sobe i kupatilo. U ovom smeštaju (ne apartmanu), bez ikakvog stila, između ostalog, nema papuča, nema nijedna čaša, pa nemožete ni vodu popiti ili sok, nema nijedna posuda za četkice u kupatilu... Prosto, nije dovoljno ubaciti jacuzzi u kupatilo i baviti se turizmom. Ovaj smeštaj je verovatno osmišljen za neke dnevne varijante mladih ljudi... Ponavljam, bez ikakvog stila. Recimo, neki ukras po policama, saksija nekog cveća, slika na zidu, lampa u dn. boravku... Za ovaj novac, možete sve ovo dobiti u pravim apartmanima u Novom Sadu. Slike prilično varaju.|-1
Izuzetan|Prostran apartman, vlasnik jako ljubazan. Odlična lokacija. Prijatna atmosfera. Sve pohvale|1
Veoma dobar|Spa je odličan, bazen čist, lokacija dobra, soba uredna|1
Lose|Kuhinja je bila haoticna, nije bilo očišćeno, neoprani sudovi i mrve na stolu|-1
Sjajno|Sve je bilo odlično! Udoban krevet, sobe sa privatnim đakuzijem i saunom, besplatan parking i nedaleko od centra.|1
