title,text,rating,sentiment
Comfortable Stay,"First, this was the first time I have ever stayed at a Drury Inn, and I am here to say it was absolutely the best choice I made for this trip. It was within 7 minutes of where I needed to be, it is clean",5,1
Nice,This hotel has a great view of Pikes Peak. It's right up there with the rest of the Drury Hotels. Very clean. Friendly staff. There are a lot of restaurant options nearby. Unfortunately for me most of them are restaurants I have in my hometown.,5,1
Great hotel!!,This is a great hotel! Our first time staying at a Drury Inn but definitely won't be our last! The Hotel was in great condition. My kids loved the indoor/outdoor pool and the hot tub. The happy hour was amazing and had so much food,5,1
Two nights was too short!,From the moment we checked in until we left two days later we had excellent service from everyone. Our room on the fifth floor had amazing views over the mountains. The room was very clean and everywhere in the hotel was clean and tidy. Brian,5,1
Trusted Stay,This is a new location and staff is friendly and attentive. I know what I'll get each time I stay and that is a good stay in a nice room. Food for breakfast and evening happy hour is good. This place is always clean,4,1
Amazing value and quality,"We have never stayed here before but decided to give it a try based on the reviews we read. The staff was amazing. The room is bright, clean, and comfortable. The free breakfast and happy hour, along with the popcorn was a bonus and helpful",5,1
Please switch to reusable plates and silverware!,"The hotel is clean, comfortable, cheap, has a small indoor/outdoor pool, large hot tub, provides extras like free breakfast, free dinner, free wi-fi, and free popcorn. The food wasn't great - a lot of mushy pasta at dinner - baked potatoes were good but ",1,-1
Best place to stay on our vacation!,"I booked our room the night before we stayed after reading the reviews. Although it seemed a little pricey, it was the best price in the area for the busy season. We came after a day at RMNP. Great location, not in the middle of busy downtown Estes Park but close if you want to enjoy the town.",5,1
Nice Hotel in Estes Park,"We stayed here after traveling through Rocky Mountain Nat'l Park. Not a chain motel. The room was small, but very clean. Very friendly staff. Bed was very comfortable. Room had a microwave and refrigerator. TV was low def (not HD). Wifi was spotty and somewhat slow. Continental breakfast was light - sweet rolls, donuts, muffins, coffee, cereal - no orange",3,0
College visit,"nice clean hotel. Near WIU campus. Front desk very helpful, after traveling all day able to check into our room early. Rooms very clean Breakfast was nice, hot and plentiful not far from stores and places to eat dinner",4,1
Wonderful Place to stay!,"My daughter and I stayed at the Hampton Inn during a visit to WIU for Audition Day! Perfect Experience! Comfy, clean beds with fluffy comforters and great pillows. Totally updated bathroom with fine finishes. Breakfast was awesome and the dining area was so nice. We will be back again",5,1
"Great Room, Super Hospitality",Room was very clean and well appointed. Everything you need for an extended stay. Bed was very comfy. Front desk was extremely accommodating. I had a very late check-in due to another engagement and there was no issue. Highly recommend.,5,1
"luxurious, friendly, comfortable","We were at the Club Pulse for just one night. Everything was perfect, staff at the front desk were very friendly and knowledgeable, everyone we ran into was professional and nice, the room was super comfy. We had a suite with a kitchenette (microwave, refrig with freezer unit, coffee maker, dishes, flatware, glasses for water and wine), 2 televisions - one in the bedroom the other in the living room. The seating was very comfortable and a table to eat. I highly recommend this property. We were in town to see the play Hamilton, we were easily able to walk to the Gas Lamp for dinner and then to the Civic Theater.",5,1
Marriott Vacation Club,My wife and I stayed this past weekend at the Marriott Pulse. Nice hotel with great amenities. Good location in downtown San Diego. Only 4 blocks to the gaslamp district with many choices of restaurants in the area. 1 bedroom unit is a little small compared to other Vacation Club properties so would be tight if 4 are staying in one of these units.,4,1
Great stay,"We ended our San Diego stay here, with 4 nights. Staff was very friendly and accommodating. Room was comfortable, and, surprisingly, the pull out sofa bed was the most comfortable I have slept on. The fitness center was clean, and had a good variety of equipment. The parking fee is steep, but standard for a large city. Good luck going around the spiral getting in and out of the garage. Easy access to everywhere we needed to go.",5,1
racist / rude loss prevention team.,"accused of smoking in my room. only young black kids in the hotel. ima 24 year old well put together chef. needed time away with my girlfriend. Managers and loss prevention kept harassing us. Sunday morning knocked on my door and walked in without my consent and literally said oh i though you were smoking in here and walked out. I was hearing noise all night which i complained about, but nobody did anything about it: yet you're worried about if im smoking when your hotel is Loud and your staff is racist and rude because all of my greetings did not seem genuine. your loss prevention is not an army and i should sue for grievance. I complained about loud banging all morning and nobody did anything or come to see if it was still happening. Instead I got your army of LP at my door accusing me of smoking once again. without even saying sorry for bothering you. I WILL NEVER STAY HERE AGAIN AND I AM A MARRIOT REWARDS MEMBER. There were stains on my bed which i let go. my towels were not clean so i requested new ones. You service was so bad , and biased my girlfriend told me not to complain about the towels or buy from your marketplace. This is going to get solved in a court matter. This was the worst experience i have had at a hotel and i travel frequently.",1,-1
Vacation,Stayed here September 2018 for 7 nights hotel was amazing and should be rated a 5 star plus everything was perfect fantastic rooms amazing staff first class facilities great location close to all local attractions would highly recommend.,5,1
Great Hotel For Walking To Most Attractions,"My wife and I stayed here with our 2 grandchildren for 5 days in April. The room amenities are very nice with very comfortable bedding and living area. The Kitchen area is small, however, with a small mini refrigerator and microwave so if you are planning to eat many meals in your room, this is not the hotel for that. We walked to Little Italy, the Gas Lamp area, PETCO Park and to the USS Midway. Very convenient to all locations. They have Valet parking and a restaurant on property although we did not use it. They also have a fitness area and a indoor pool.Steve, thank you for a perfect review! We are so happy to hear you and your family enjoyed your stay with us here in San Diego. We hope you will visit us again sometime.",5,1
Sleek and modern,"This place was recently renovated and our room on the 23th floor felt like we were staying in a hi-end condo with breathtaking views of San Diego bay and the Coronado bridge. Sleek and modern decor with marble countertops stood out to me. There were two flat screen TV's, and a fully-stocked mini kitchen with fridge. Located right in the middle of downtown minutes away from the gas lamp district this place is prime location. The luxurious amenities combined with meticulous customer service especially in the downstairs restaurant makes for a memorable experience that I wouldn't hesitate to highly reccommend over and over again! Great job Marriott!",5,1
Just not on the ball,"The issues started the first night. Do Not stay in room 1501. Although the room seems like it is a bit away from the elevators the bed room is right next to the elevator shaft. This would be fine if it was just elevator noise but every time it went up and down the banged like the someone was knocking on the door loudly. All night all day whenever someone was in the elevator. I complained the first night to the front desk and actually a maintenance guy, Jared. He said that Otis elevator was actually on site fixing the elevators. They actually came to room but could not figure out where the noise was coming from. I did mention it again on Wednesday but they did not do anything. They could have at least moved me to another room. On Friday I was supposed to meet someone for dinner. I did not have his cell though. I had stepped out of the room for a bit, unfortunately right when he called at 630. He tried again at 7. The staff did not leave a message on my room phone (or my cell/email which they had). At 9 I received a call from the front desk that I received 2 calls at 630 and 7. When I asked why I am just hearing about it at 9, the woman said the note got lost and they had just found it. Oh did I say the pool was closed. Lastly, 1501 is a joined room and on Friday night, at 11 a family decided to have a fight where someone was slapped and the mother and little daughter started crying. I called the office but as far as I know no one came up or called. Just not a good stay. ",1,-1
Loved this place!,"I stayed at the Marriott Vacation Club Pulse during Memorial Day weekend from the Bay Area. Unfortunately, I had pulled my hamstring prior to my arrival and was in extreme pain after walking through 2 airports and pulling my luggage. The hotel staff took me to my room in a wheelchair and brought me ice and other items to assist with my pain. On top of that, they gave me a Get Well card signed by all the staff. The room is nice (not too big and not too small) and the furniture is well appointed. The bathroom is a really great size with the closets located inside the restroom along the wall (nice touch). Before I arrived I read the reviews where other travelers complained about a reflection on the sliding door that separates the living room from the bedroom at night. I did not experience that. I enjoyed the indoor pool/jacuzzi and the close proximity to the Donut Bar (the donuts are splendid), the House of Blues, as well as other restaurants, banks and stores. The street it is located on is more quaint than lively, but you're a stone's throw away from the action. The room service is great ( I ordered breakfast a couple of mornings) as well and the delivery team makes sure you're satisfied. They also have a discount card avail (not sure it's available to all traveler profiles) that you can use at nearby restaurants which was a plus. I really enjoyed this property which I will definitely book when I return to the San Diego area.",5,1
"Marriott's Pulse, vibrating!","This is a really modern hotel bang, smack in the centre of the great city of San Diego, California. And because it has most of anything you need at pretty high quality, it is not cheap. We stayed for two days and enjoyed both beertasting and whiskey/whiskytasting for only 5 each. The bartenders, John and Ben, did a fine job! Breakfast is not included, but it's not very expensive and you have lots of choices. We didn't try the restaurant. They served us good hashbrowns and perfect eggs which were impressively fast on our table. Good selection of teas and real freshly squeezed orangejuice. Staff looks happy, not just polite. Great room, loved the chocolate! Fine beds, fridge and microwave in the livingroom and tv both there and in the bedroom. Modern fascilities for charging phones etc. Even if you need an extra plug, it's already there. Any niggles Well, parking in cities may be difficult, but 42 per night with valet and 35 without seems to me a bit over the top, the room comes at a price so it ought to be half the price for guests. After all, just a few blocks up you could park for free on the street. But will I stay there again if in SD Yes, of course.",5,1
Modern and Upscale,Stayed here for one night and really enjoyed it. The place is very modern and is being upgraded. The staff couldn't have been any nicer. Great bar with pretty good bar food.The bar tenders were super. Place was very clean. The only problem is you're a little removed from the action but a short Uber/Lyft ride and you're there.Worth going back to next time I'm in San DIego.,4,1
Such awesome service,"My husband has business here and I tagged along. What a fantastic hotel. The service is impeccable. When we checked in I had bruised my wrist, freak accident. My husband asked for an ice pad. They gave us 2 ice pads and was so concern. We checked into our awesome and perfect suite, not 5 minutes. We heard a knock on the door. Anthony, security management, was at the door with a note of well wishes for me plus a box of gourmet cookies. We were just blown away how fabulous his concern was for us as their guests. We can't say enough how awesome the service is for this hotel. Highly recommended. Wish I could give it a 6 stars. :)",5,1
Comfy location and friendly,"We got a couple of connecting suites, very confortable and with all the necesary ammenities. Stayed there for a week. Contemporary and stylish.What we liked the most was the location right in the middle of down town where there is a good array of restaurants, its close to the Glass Lamp area and to the trolley.Service was very kind at all times. The food was ok but for some reason lacking a bit in salt to our latino taste buds. But the coffee great. Restaurant open at all times which is practical.One thing that should be handled is the dirty windows from the outside. That takes away from the aesthetics.I definitely give it a thumbs up because its a good value for the money.It sounds like the perfect vacation at Marriott Vacation Club Pulse! ",4,1
Best Western Plus Hotel,"This hotel was nice and quiet. Did not know, there was train track near by. But it was only few train passed during our stay. Best Western changed hotel classification. The Plus category are not the same as before.",3,0
Clean rooms at solid rates in the heart of Carmel,"We stayed in the king suite with the separation between the bedroom and the living space. The sofa bed wasn't very good I had back discomfort by the day we left on our three night stay. The room is clean, and the king bed very comfortable. This hotel is located within walking distance to most places",4,0
Business,"Parking was horrible, somebody ran into my rental car while staying there. I didn't get to try the breakfast, I was there for business so the restaurant opened to late for the business world to enjoy, I had to asked for coffee for my room, And the items in the vending machine were stale.",3,-1
Very good,"Not cheap but excellent location. Price is somewhat standard for not hacing reservations. But room was nice and clean. They offer good continental breakfast which is a plus and compensates. Front desk service and personnel where excellent. It is Carmel, no A/C in rooms but they have a fan for air circulation.",5,1
Low chance to come back here,"If you get the room that they advertised on the website and for what you paid, you may be lucky.If you stay many days , they will give you the not so good rooms.Nobody wants to stay in these rooms: low light/dark rooms, near pool, noisy, smelly bathrooms, or difficult access. If you stay one-two days you will get probably... More",2,-1
Loved staying here,"This is such a fun, lovely hotel. The attention to detail is impressive, from the thicker rimmed water glasses to the extra fluffy towels. Loved the vibrant art which lends itself to a hip vibe. My only disappointment was at their restaurant, the Lockbox. The menu is just trying too hard. I am a fairly adventurous eater but each of... More",4,1
Does not live up to its reputation,We recently stayed at this hotel on a trip to Lexington with other friends. Our group shared the feeling that we would not be back. We routinely waited more than 10 minutes for elevators. The workout room is tiny with 2 treadmills and 2 cheap elliptical machines that rocked off the floor when in use. Everything about the hotel seemed... More,1,-1
worst customer service ever,"I reserved a room a week in advance, knowing a motel is usually not great accommodations but we were just passing thru during the longest yard sale. I was quoted 50 over the phone and given our room numbers as a confirmation number and she...More",1,-1
The worst place i've booked,"Hello, I have traveled a lot and abroad and by far this is the worst place i have ever booked. i paid got the key and walked in. OMG the place is HORRIBLE. this place is one of those hotels they show in horror movies where they kill people. I kid you not! this place is horrible. i only stayed... More",1,-1
Beautiful hotel,This is a new Hampton Inn and is well decorated. The color scheme gives a feeling of luxury and is very restful. The beds are comfortable and the black out curtains keep the room dark for a good nights sleep. The entrance is a little difficult to find so look closely for the sign. The staff was very friendly and... More,5,1
Good for location,"I stayed here for three nights while I explored nearby Santa Barbara. This place is ok for a night or two, if you can live the excess noise coming from the freeway, then three nights is just about doable",3,0
Under construction and extremely accomodating,"Completely accommodating hotel! I booked a reservation last minute day of, used points to offset the cost and even called the front desk to ask for a little help. They were completely kind and welcoming, especially accommodating while under construction. Thank you!",5,1
"Very hot water, bad food","The water is very hot and there's no cold water at all... It's awful.. The food is not good.. The staff is friendly and very nice.. More upscale items should be offered for the price of the room at 200. A night! Snacks, toiletries, menus and food and drinks offered.. Promote your business...",3,0
Excellent hotel,"Great staff and rooms. Housekeeping was always spot on--we never saw them come in, and it was in perfect order when we came back to our rooms. The hotel is close to everything, French Quarter, museums, business district, etc. And we got a GREAT price for our stay. It's an excellent value--highly recommend to anyone visiting New Orleans!",5,1
Historic but uncomfortable,"This Hotel, formerly a prestigious bank, may be attractive for history buffs, but is an expensive and horrible place to stay when you visit New Orleans. The rooms are SMALL, unattractive, with terrible old bedding, virtually without windows or amenities. Parking was 38/day, and it took 35 min. to get your vehicle. Almost no lobby or sitting area, the restaurant was small, understaffed, with a severely limited menu. The commode was crammed into a tiny bathroom, and we had to call down to get them to bring up an old beat-up refrigerator. There are SO Many other more attractive places to stay in New Orleans, less expensive, I would avoid this place like the plague.",2,-1
Accomations,Very accommodating staff. Competitive pricing for downtown N.O. convenient location. Comfortable room. Good food in restaurant. Broken exercise equipment. 'fitness club' is a bit of a misnomer. We can recommend this to anyone else for a good place to stay with great location for many attractions.,4,1
Great Room at Great Location,"Room was much larger than I expected, and water and fridge were offered for my room - had everything I needed. Nice basic breakfast was included. Room was very clean and everyone here was friendly! Would stay again. ",4,1
"Good location, clean but poor services and restaurant.","The Whitney Hotel is ideally located to see most of the sights of New Orleans. I would say it is a place to lay your head but I found the restaurant poor in terms of food choice and quality. The room phone did not work, no room service offered and the room can be noisy as it overlooks a major road. Overall, I think we can do better on my next trip to New Orleans",3,-1
Great value and good location,"This is an old hotel in very good location. A 5 minute walk to Bourbon Street and Harrahs' Casino. A 15 min walk will get you to Caffe DuMonde and the French Market. Although old, the hotel is well kept and the staff is efficient. I found the room a little bit small, but confortable.",4,1
Excellent,The hotel is historic and yet modern. Full of history. The hotel is conveniently located in the heart of New Orleans. Blocks from the French Quater and the Riverfront. The staff was very courtis and very knowledgeable. Always there to help get you where you want to be. Just one block to Mothers one of the local best restaurants. Totally enjoyed my stay ,5,1
Good Hotel - Good Location,"This hotel aptly named the Whitney Hotel as it was the location of the Whitney Bank.Several of the features of the bank era are there to be seen such as the strong room doors and related features.This hotel is in a very good location very close to local transportation - buses and streetcars.A short walk takes you to many places to eat, drink and shop.Less than ten minutes walk to Canal Street, Bourbon Street and Royal Street.Pleasant ambience, friendly staff and comfortable rooms. We had a noisy air con and after underlining our concerns were moved to another room and provided with free on the house breakfast.The hotel has partnership with some eating/licensed businesses plus a two for one offer for Mardi Gras World.",4,1
Beautiful Hotel!,Such a beautiful hotel! LOVED the lobby and the bank vault. It was so unique and interesting. Our suite was so beautiful and very comfortable. We would like to thank the staff for taking such good care of us.Your knowledge of your wonderful city was so helpful. ,5,1
Very nice and reasonable,"We recently had the opportunity to travel to New Orleans and we chose to stay at the Whitney based on user reviews, location, and price. The room was very nice and was really clean. The hotel was well decorated. The one big call out I have is that the restaurant accepts room charges and cash only! As a rule, I won't support a business that doesn't accept credit cards for payment. Valet parking or a paid lot across the street are your parking options.",4,0
Great hotel with fantastic service,"Our room was beautiful, the location was wonderful just a couple of blocks from shopping, Bourbon Street and an easy walk to Jackson Square. There are great restaurants in walking distance as well as the restaurant in the hotel. Dinner in the vault was fabulous.The service was outstanding.Even one of the maintenance men held doors for me and gave great advice on where to eat. Loved it and can't wait to go back. Thanks especially to Jason who really took great care of us.",5,1
Whitney,"Excellent service and location was perfect. Have been in New Orleans numerous times so we didnt need to be in the heart of French Quarter which could be very noisy. dont get me wrong, love a good time let the good times roll but when I want to sleep I prefer quite.. Staff very helpful , great new restaurants in warehouse district....",4,1
"Horrible, closet like rooms with no air conditioning...","I will never consider staying at the Whitney after my epic night of uncomfortable room temperatures and a night's sleep on the hardest, cheapest mattress I've every experienced. The hotel staff was nonexistent and are complaints were only listened to AFTER check-out.",1,-1
Second chance stay,"The hotel was alright, this was my second stay at this hotel after my first experience I recieved a comp night to get a better experience. My second experience was about the same, rude staff, bugs in room, room wasn't cleaned when asked and many other things to add on this. For the price of the nights I did pay for, it would be been better to go to another hotel with more comfortable beds. ",2,-1
Non recommanded stay,Nice locationGood staff Th rooms need to be Aired and to ne cleaned.Th breakfast is a shameTh location is goodWe dont recommanded this hotel as for th quality or th rooms as for the quality of th breakfast server into plastic plates,2,0
Nice visit to NOLA,"Recently stayed at the Whitney Hotel in New Orleans. The hotel was an exceptional experience from the old 1910 building to the amazing queen suite. We would make any future visits to New Orleans included a stay at the Whitney Hotel. Front desk staff helpful, friendly and very informational about locations in the city. Parking was somewhat priced out there but the valet service took good care of our truck and promptly brought it to us when we called for it. Would recommend this hotel to anyone that wants to experience New Orleans in actual history and ambience.",5,1
In the valet parking they stole in the car.,"Unfortunately, it is not a place to have confidence. One of my children left a small amount of money in the car. When we left the hotel we realized they had stolen it. Although it was little amount of money, the fact is equally repudiable.",1,-1
Disappointing experience,"My husband and I stayed for 4 nights with my 13 month old son and our experience was disappointing from the moment we checked in. When we made our reservation on the phone, we requested a crib for my son and were told it would be no problem. When we arrived we were shocked to see a pack-n-play rather than a crib and they didn't even provide us with a sheet. We called the front desk and demanded a crib. After a few hours, a crib was brought to our room... without even a crib sheet. After many phone calls to the front desk asking for a crib sheet we received a full size sheet for a crib. Apparently not a single person who worked there even knows what a crib sheet is. In addition to the crib and sheet fiasco, the carpeting in our suite was buckling and we almost tripped over it several times. There were also some sink holes in the bedroom. It seems that the hotel is about to undergo a much needed renovation, so hopefully they can also improve their customer service. The location of the hotel was the main reason we chose it, and it does have the potential to be a lovely boutique type hotel with some updates.",2,-1
Best Weekend Ever!,"What a wonderful weekend spent with my husband. Staff, Food, Rooms, everything was great. So welcoming and professional from arriving to departure. Location is perfect. Not to busy, but many thing within walking distance to explore in the big city. Defiantly will be back soon... Wouldn't stay anywhere else! ",5,1
great Hotel Experience,"This was a beautiful hotel. All the things that made it a bank are still there, reminding you of the lovely banks that we used to have. The fact that part of the building is still an operating bank was a surprise. Everything was lovely. I did not eat in the restaurant because the rest of my party wanted to go other places , but we should have eaten there. We went to Mother's we had the worst meal that any of us ever had. I would highly recommend this hotel for a great stay its location.",5,1
Great service from Staff but the hotel needs an update,"The staff was courteous, friendly and helpful. However, the hotel itself seemed to be a hodgepodge of various updates through the years. It seems staff has been trained to blame it on Katrina but when you stay its clear that the owner has not sufficiently maintained the facility through the years and when maintenance was performed, done so at the cheapest cost no matter how unsightly. the hotel has a lot of potential but is not a boutique by any stretch of the imagination. the windows are original so they are thin. curtains did not properly open and close. AC was loud and inconsistent at keeping a steady temp. using an old mercury thermostat. continental breakfast was paltry compared to others hotels",1,-1
"Convenient, clean and quiet.","My wife and I recently spent 5 nights at the Whitney Hotel. We chose it for its mid-way location between the WWII and the Ogden Art Museums, and the French Quarter. It is also only a block from the Charles St. trolley to the Garden District.Our 6th floor king-bed room was a little small by king standards, but didn't feel cramped. The only smallness inconvenience was a lack of night stand and light on one side of the bed (no room). The bed and pillows were excellent and the room clean. The bath room had ample space for both of our toiletry bags, and there was a nice tub/shower with great towels. The provided shampoo and other products were of high quality.Since our room was directly above Poydras Street, a busy thoroughfare, we expected some noise and on the first night, which coincided with a Saints NFL game, we got it. However the noise subsided about 10 PM after the game traffic cleared and each of the subsequent nights were pleasantly quiet. The A/C was efficient and quiet.This is a smaller hotel (compared with the mammoth nearby Sheraton) and the staff were always available and pleasant. There is a restaurant on the premises (we only had one breakfast there - very good) but many, many fine restaurants in all price ranges are within 5-10 min walking distance. I felt the hotel was a great value for the price and would gladly stay again.",4,1
