prediction|original|review
-1|-1|Zgrada je u ruralnom delu naselja. TV ima 3 kanala. Zajedničko kupatilo,
-1|-1|Kreveti u našoj sobi neudobni, previše mekani i škripe.
-1|-1|Nema klime u sobama.
-1|-1|problem zajednickog toaleta i malo vise buke .
-1|-1|Celu noć je neki pas u komšiluku lajao , pa se nisam baš naspavao.
1|-1|Vlasnica i zena koja vas docekuje su vrlo neprijatne.
-1|-1|Sobe imaju vrlo losu zvucnu izolaciju cujete sve goste oko sebe pa nije prijatno ako ste dosli da se odmorite.
-1|-1|Narušavaju vasu privatnost i krse zakon time sto vam pri dolasku slikaju licne karte.
-1|-1|Izlazak je u 10h ujutru ako ne izadjete odma do 10h ili pre 10h lupace vam na vrata i isteravati vas. Sto znaci da iako ste na odmoru da ne bi ste dozivljavali neprijatnosti morate ustati u 8h ujutru da vec u 10h budete van kapije.
-1|-1|Za te novce je mogao biti neki laki doručak.
-1|-1|Nema sefa i frizdera
-1|-1|Slike iznutra uopste ne odgovaraju smestaju.Dosta mracno
-1|-1|Skucen prostor,posebno kupatilo,klima se slavina,stari vodokotlic,prirucna stara skirnja na podu kao frizider.
-1|-1|Donju sobu nikako ne preporucujem.Gornje sobe nisam video,verovatno su bolje sredjene,ali nisu bile raspolozive.
-1|-1|Necistoca, smrdji na budjavo
-1|-1|Mnogo je prljavo i ne postoji frizider, kreveti su skroz neudobni
-1|-1|Neudoban krevet,vrlo malo prostora u apartmanu.Toalet mali..
-1|-1|Higijena na nedopustivo niskom nivou. Počev od posteljine, preko uflekanog kreveta pa nadalje.
-1|-1|Za kuvanje kafe ima nebezbedno kuvalo, kakvi se više ne koriste i ne prodaju
-1|-1|Apartnam tesan, prenatrpan stvarima. Nema normalnog stola u apartmanu iili bar na terasi. Kroz vašu terasu prolaze stanari drugih apartmana.
-1|-1|Prašina nije obrisana, kupatilo posle kupanja je celo poplavljeno.
-1|-1|Prljav objekat, paucina na sve strane, vlaga u kupatilu
-1|-1|Internet nismo imali pola vremena koje smo tamo boravili, malo prostora u sobi, secer je bio skamenjen od ko zna kad
-1|-1|Sampon nismo imali kad smo stigli tako da ponesite ko dolazi.
-1|-1|loše uredjenje oko objekta
-1|-1|Soba je baš mala, fali noćni stočić pored kreveta, polomljena daska na wc šolji, premali lavabo...
-1|-1|Sprat je nemoguće ohladiti, iz kreveta se izlazi sa jedne strane. Stepenice ili merdevine na sprat zahtevaju dopunsko zdravstveno osiguranje.
-1|-1|U dvorištu su dva dalekovoda sa visokim naponom.To nije bezbedno mesto za posetioce
-1|-1|Otkazali su u poslednji momenat i nisu se potrudili da nam pronađu drugi smeštaj
-1|-1|necistoca, neudobnost
-1|-1|Ne postoji pogled na jezero. Objekat jeste blizu jezera ali ispred su zgrade koje zaklanjaju pogled. Ne postoji doručak.
-1|-1|Čistoća objekta nezadovoljavajuća (bube, paučina). Kupatilo prljavo, nije bilo tople vode. Pored krevata za spavanje (soba za dvoje) frižider koji ''drnda'' celu noć pored glave.
-1|-1|Mnogo mali prostor u prizemlju.Bucno,prolaze vozila stalno,soba u nivou ulice
-1|-1|Higijena bi mogla biti bolja.
-1|-1|Prilazni put bi trebalo popraviti, kiša odnosi šljunak i kamenje i pravi kanale, pa je teško proći i kolima i peške.
-1|-1|Nije bilo dzezve, slab mlaz vode sto je otezavalo kupanje a pogotovo deteta.
-1|-1|Los prilazni put do objekta. Još uvek nije završen objekat. Internet nije bio dostupan oba dana.
-1|-1|Velicina francuskog lezaja je kao obican krevet,neudobno
-1|-1|Apartman je za dvoje, treći ležaj se razvlači, užasno tvrd, nema kablovsku, tako da gledate šta sobna antena hvata,
-1|-1|loše ako ste sa malom decom zbog crtanih filmova, nema ih, struja nekad nema fazu, pa uređaji ne rade. Nedostaje svetlo i utičnica u dvorišnom venjaku, tako da se sedi uveče u mraku.
-1|-1|Malo je stariji inventar
-1|-1|Malo više higijene
-1|-1|Loš internet, i neočekivano loš put do brvnara... Da vam treba tenk da dođete do smeštaja
-1|-1|Tesko se nalazi, ne postoji putokaz, los prilazni put.
1|-1|Dosta dotrajalih stvari u apartmanima, zica koje vire na sve strane.
1|1|Cisto, mirno, lepa lokacija, lep dorucak i prijatno osoblje.
1|1|Čisto i Izuzetno ljubazno osoblje.
1|1|Osoblje cijelog hotela je veoma ljubazno čak domari i sobarice kad nas sretnu na hodniku lijepo se pozdrave i pitaju da li je sve uredu. Doručak je fantastičan i ako smo imali posebne želje oni su to rado ispunili. Hrana 10. TV programi 10. Čistoća 10. Sigurno da vrijedi uloženog novca. Vidimo se opet.
1|1|Osoblje preljubazno, dorucak presavrsen, lokacija odlicna. vraticemo se opet.
1|1|Hotel je novoizgradjen, jako uredan.Osoblje je uvek na raspolaganju. Sobe komforne, dorucak odlican na bazi samoposluzivanja. Spa je takodje uredan i jako funkcionalan.Lokacija odlicna. Sve preporuke!
1|1|Šarmantan hotel u kom smo se osećali kao kod kuće. Osoblje izuzetno ljubazno. Hrana raznovrsna i ukusna. Sve je novo, čisto i uredno. Mi smo našli mesto kome ćemo se vraćati. 🍀 Sve preporuke!
1|1|Soba prostrana, svetla, čista i ljubazno osoblje. Hrana izvrsna. Na odličnom mestu. Opet ćemo otići.
1|1|Osoblje je predobro. Bio sam u dosta hotele ali ovakvo osoblje niko nema. Bas sam iznenađen i svaka im čast. Hotel za taj novac je odličan.
1|1|Cisto, udibno-spa centar odlican, slana soba, sauna, bazeni. Doručak odlican. Cafe bar takodje i igraonica za decu.
1|1|Doručak odličan, širok spektar izbora. Osoblje i više nego ljubazno. Bazen i spa centar fenomenalni. Pravo mesto za odmor.
1|1|Osoblje preljubazno, divni ljudi uvek na raspolaganju i profesionalizam na nivou! sve pohvale za njih!
1|1|Sve je fenomenalno,nov hotel,ljubazno osoblje .Jos se uhodavaju,ali odlicno.
1|1|Odlicna lokacija, na samom pocetku grada/jezera. Hotel ima svoj parking. Soba je lijepo uredjena i prostrana, kupatilo odlicno. Krevet veoma udoban kao i jastuci. Dorucak fantastican.
1|1| Sve preporuke za hotel 😊 Osoblje ljubazno i uvijek na usluzi. Soba čista, komforna i mirisna. Hrana raznovrsna i ukusna. SPA centar 10+
1|1|Odličan smeštaj,sve uredno i čisto. Objekat je nov,lift nam je bio spas do 4-og sprata, a poseban plus je što ima podzemnu garažu za automobile. Osoblje je veoma prijatno i srdačno,za svaku pohvalu. Preporučujem za porodice sa decom. I na kraju,pogled sa terase je fantastičan!
1|1|Sve je bilo baš kako treba. Lokacija je odlična, a terasa sa pogledom na grad izvanredna! Garaža u objektu je veliki plus.
1|1|Sve super, sredjeno, ljubazno osoblje koje nam je dalo kljuc, fina lokacija, ocjena 10/10.
1|1|Lokacija je odlicna, blizu centra, a opet izolovano od buke. Izuzetno cisto, sto je svakako vredno da se naglasi
1|1|Sve je izuzetno čisto, opremljeno, udobno
1|1|Topao, cist, blizu centra. Idealna pozicija zgrade, odlican pogled sa terase. Meni i mojoj supruzi je bilo jako prijatno uzivanje. Osoblje dostupno u svakom trenutku, spremni da izadju u susret. Dolazak opet je zagarantovan.
1|1|Sve pohvale za smestaj👌 Cisto,toplo,lokacija fantasticna,centar👌
1|1|Apartman je lep, udoban i cist sto je bilo najbitnije. Lokacija je super, blizu centra, ima veliki parking i lep prilaz za pesake.
1|1|Sve je bilo odlicno
-1|1|Apartman je zaista izvanredan! Pocevsi od higijene kao najvaznijeg faktora, pa opremljenosti, a o polozaju i mestu gde se nalazi da i ne govorim. U mirnom delu, okruzen sumom a na citavih 3 minuta hoda od setalista i centra. Apsolutna preporuka.
1|1|Apartman odlican, cist, poseduje sve od neophodne opreme. Ima dovoljno peskira, pegla, kuhinjski elementi su tu, garaza kao i parking ispred zgrade. Grejanje, internet i kablovska rade bez problema. Veliki pozdrav za turisticku agenciju Navigator koji su nas sjajno docekali i ispratili
1|1|Sjajno! Moderno, uredno, čisto, opremljeno, prostrano! Blizu centra. Sve preporuke!
1|1|Lokacija je fantasticna, ljubaznost i usluznost domacina bez primedbi. Svaki nas zahtev je ispostovan i vise nego smo zahtevali. Sve u svemu fantasticno.
1|1|Odličan apartman, sve novo i uredno, pogled fenomenalan. Agencija i vlasnik izuzetno predusretljivi i uslužni. Parking ispred zgrade, borova šuma pored. Pravi odmor.
1|1|Izuzetno cist apartman, lepo opremljen, na odlicnom mestu. Hrana u restoranu veoma ukusna.
1|1|Sve je odlično, vrhunska usluga za super cijenu!
1|1|osoblje veoma ljubazno.
-1|1|Urednost i čistoća kako smeštaja, tako i SPA centra.
1|1|Sve je bilo super. Smeštaj uredno, čisto sve pohvale. Blizu centra, osoblje ljubazno. Spa centar, odlično sve čisto, voda topla. Sve pohvale, sigurno ćemo opet doći.
1|1|Jako cist, lep apartman.
1|1|Odličan smeštaj, nov objekat, nov nameštaj, sve se održava perfektno, bazen i spa su prelepi, voda svaki put topla, postoje i đakuzi i saune. Svaki apartman ima svoj wifi, tako da je signal odličan, kao i ponuda kablovske televizije, Lokacijski su na 5 minuta od centra Zlatibora. Definitivno mesto gde bi ponovo boravio. Sve pohvale.
1|1|Odlican apartman, sve cisto i lepo opremljeno.
1|1|Izuzetno ljubazno i predusretljivo osoblje. Dolazimo jednom do dva puta godišnje i usluga je svaki put sve bolja i bolja.
1|1|Soba je prostrana i vrlo udobna opremljena sa ukusom, čista. Ima sve potrebne sadrzaje, ljubazno i profesionalno osoblje.
1|1|Sve je bilo izvrsno.Aparani su udobni i cisti ,osoblje prijatno .Za svaku preporuku.
1|1|Dorucak je bio fantastican kao i lokacija
1|1|Smeštaj je vrhunski!
1|1|Veoma cisto, zaista za svaku pohvalu. Osoblje na recepciji predusretljivo.
1|1|Veoma čisto. Odlična lokacija, blizu centra, ali u mirnom delu Zlatibora. Odlični sadržaji koji su u ponudi(spa sa odličnim bazenom, usluga masaže, tretmani lica...). Izuzetno profesionalno i ljubazno osoblje.
1|1|Mi smo bili u vili Harizma, apartman je jako lep, novoopremljen, f onalan sa dovnim velikim prozorima i pogledom da sneg i planinu. Toplo je i čisto. Odlčan odnos cene i kvaliteta. Sve preporuke!
1|1|Odlican, skoro pa nov apartman, blizu centra, sadrzi sve neophodne stvari (ima cak i fen za kosu), cisto, uredno, za svaku preporuku
1|1|Apartmani su prelepi, veoma čisto. Osoblje je ljubazno i zna svoj posao.
-1|1|Hladna voda u bazenu. Isto je tako bilo i pre 5 godina.
-1|1|Sadrazaji u objektu su na najvisem nivou.
1|1|Uredno,čisto,ljubazno osoblje.Prvi put boravili u objektu,sigurno dolazimo opet.
1|1|Apartman u kom smo bili smešteni je izuzeno lepo sređen, u prizemlju sa velikom terasom (dvorištem). Lokacija dobra, sve u svemu preporučujem 👍
1|1|U smeštaju je sve novo, sve je odlicno sredjeno, centar je blizu, par minuta peške..
1|1|Vrlo čisto. Zamena peškira redovna. Dobro opremljena kuhinja. Miran kraj bez buke. Bazen je čist i dimenzuje su dovoljno velike za plivanje. Parno kupatilo za svaku preporuku. Masar Miloš je pravi profesionalac.
1|1|Funkcionalno dobro opremljeno, cisto, ljubazno osoblje
1|1|Iskreno dopalo nam se sve.
1|1|Lepo osmisljen kompleks,apartman je dobar po nasoj meri za troje dece. Svaka soba televizor,pogled dobar.
1|1|Fenomenalan kompleks, cist i sredjen. Celokupno iskustvo na izvanerednom nivou!
1|1|Prelep apartman na odličnoj lokaciji. Čisto i opremljeno sa svim neophodnim stvarima.
1|1|Sve ukupno, ugodjaj je fantastican.
-1|1|Idealno čisto. Nov nameštaj, uređaji, posuđe. Dovoljno mesta za odlaganje garderobe. Osnovna sredstva za higijenu ( sapun, wc papir) se dopunjuju svakodnevno, peškiri se menjaju svaki dan, osoblje prazni kante za smeće svaki dan. Udobno. Grejanje preko dana savršeno.
1|1|Čisto,toplo,ljubazno osoblje,apartman kao i na slikama.
1|1|Sve se nalazi u 5, 6 zgrada ne velikih. Sve je tu po potrebi. Recepcija ljubazna. Nemam zamerki.
1|1|Doručak odličan i obilan. Večera isto tako veoma raznolika i obimna. Lokacija je dobra i kompletna sa spa centrom i jako lepim smeštajom.
1|1|Apartman je lepo uređen i opremljen. Odličan doručak. Hrana je raznovrsna (u rasponu od 3 dana). Veoma ukusna jela i dezerti.
1|1|Lep apartman, parking je obezbeđen u sklopu objekta. Odlična vinarija i restoran sa prihvatljivim cenama. Obroci (doručak i večera) su stvarno ukusni. Udoban krevet i što je retkost: udobna sofa u dnevnom boravku!
1|1|Odličnan izbor. Nema mane. Nečete napraviti grešku. Parking odličan i siguran.
1|1|Idealna lokacija, udobnost i čistoća. Ljubaznost osoblja na recepciji. Drugi put već dolazimo kod vas što je dokaza da smo veoma zadovoljni smještajem. Vidimo se ponovo.
1|1|Cisto je i udobno
1|1|Svi zaposleni su izuzetno ljubazni i predusretljivi
