prediction|original|review
-1|-1|The bar closed at 10pm which was poorOnly 3 days into our 8 day trip we were told the bar and Resturant were closed leaving us with no facilities in the hotel We should have been told that when we were booking and would not have booked it as it's nice to eat and drink in the hotel after a long days walking around town
-1|-1|The area was just off a busy freeway in what we described as the stripper neighborhood. I needed early checkin which I arranged months ago. Didn't get it. When we were able to check in noticed wet section if carpet. Thought maybe they cleaned something up. Next morning 1/4 room saturated. Went to front desk. They said probably Ac problem. They said no problem to fix. We left. 6 hours later returned problem not fixed and water is traveling. Went to front desk. They said something like this can't be fixed in a day. What did you expect Odd, I expected it fixed. Can you at least suck up the water No, we can't. Hmmmmm. You will get a new room. I said no, fix it. Our time is limited and on way out soon. They said they'd send someone to look at it. Twenty minutes in the bar (nice bar and staff) went up to room. Maintenance had it fixed in 5 minutes. They placed towels on floor where they stayed until we left.
-1|-1|Well checked in was given room 183 couldnt stand the odor for more then 5 seconds.went to desk got a different room 153 was much better but still odor of mildew and mold.was given free breakfast which was ok.i wouldn't recommend to anyone unless i wanted to know what they thought of the place.
1|-1|If you like King rooms, be prepared not to have a bath. None of their King rooms have baths, only showers. I could not properly wash my hair with a tiny showerhead. Many King rooms have communicating doors to the next room, which are good noise-carriers. With regard to noise: the rooms at the freeway end of the hotel are very noisy, much more so than other hotels we've stayed in on Hotel Circle South. We were living out of our suitcases because of the ridiculous size of the drawers in the room (basically the size of nightstand drawers - see picture). The pool is the size of a large hot-tub. Breakfast had many items but lacked quality: the only good things we found were yoghurt and fresh fruit, cooked food was poor.Hotel staff were helpful and did their best to resolve our issues in a not-so-great hotel. Next San Diego visit: back to the Doubletree.
-1|-1|I guess they don't care about the little critters that creep around the room. We informed the front desk and all they said was, hum. We usually have the rooms sprayed! Found two centipedes and spiders crawling around.,
1|-1|The hotel is nice, the location is good, and the staff has been nice BUT it is infested with little cockroaches and they are every where! It is disgusting! I would recommend spending a little more money for a hotel that won't have you sleeping and going home with nasty bugs!
-1|-1|The hotel is located next to a very noisy highway. The bathroom was very dirty and the room cooling/heating unit was very noisy. I was not made aware that there was a breakfast included so I could at least enjoy something from this hotel. I checked out after the first night of a 2 night stay and went to the Hilton Bayfront for almost the same money and a MUCH BETTER experience.
-1|-1|the restaurant was overpriced and not very good. The wall of mirrors in the rooms is awkward when you are sharing a room with your mother, although I think it would have been weird if it had been my husband and I too. The bottles of water in the room for 2.50 a bottle seemed a bit much since the next best western offered a complimentary bottle of water for their guests. With the price I paid for the room, for them to charge for water we thought it was ridiculous. Plus I stayed at a lot of hotels on this trip and this was the first one to charge a 75 dollar hold for the room in case we caused damages. We drove to san diego from Portland Or, because we couldnt afford to fly we had a credit card with just enough money on it for the room, which we had to get because my brother was graduating from Boot camp, and we had to scramble to find a card to put the money on which took out of our gas money. The king sized bed was actually a queen and the queen beds were double beds. There was hair in my bed the first night and part of a sticky note the second night. The shuttle driver the first night was kind of a jerk he made everyone get on the first shuttle so he didnt have to make a second trip so people were standing and crouching in the aisle and then he told everyone if they can drive they should so they dont have to be on the shuttle. Maui was a great driver but we did not like this other guy. I also had to get my key reactivated 3 times because it stopped working. I will be letting the Marine admins that recommend this hotel to visiting families about this stay.
-1|-1|We arrived at this hotel a little early for check in so we went to get some essentials from the supermarket. We arrived back at the hotel for the 4 pm check in to be told it would be another 30 minutes before they had a room for us. When you state that's it's a 4 pm check in you have the rooms ready for 4 pm not 4.15 or 4.30. This shows me how much they regard their customers/guests.The room was clean and tidy but we had booked a deluxe room and we were not happy to see an adjoining door to the next room as we have experienced these before when we hear everything from the next room and I expect they hear everything from our room. If they want to cut energy costs then move the table away from the front of the a/c unit and let it work properly and don't mess about turning fridges off as they will run for longer to get cold again. Found the noise to be rather overbearing at times with guests stomping along the walkways and slamming doors at all hours if the night. Housekeeping seems to be scarce on the ground at this hotel at times. If we are in San Diego again I doubt we will pick this hotel again. It seems that Best Western has a special training course for front desk staff in how to be rude and unhelpful and to treat the guest as an problem rather than the reason for them having a job as this is the second Best Western we have encountered this poor service from front desk staff. All in I would not and could not recommend this hotel to anyone.
1|-1|We stayed overnight in San Diego on our roadtrip. The Best Western is nice, cleen, there was a huge room with two queen size beds. There was free wifi and a refrigerator. We had a quite room on the ground floor.
-1|-1|This Hotel does not give you a welcoming feel, the staff is not friendly the rooms smell, beds are not comfortable. I stayed in a BW in North Hollywood the same week and it had breakfast and did not smell very nice.
1|-1|I have come to except a certain level of Respect and Professionalism with Best Western Properties, but this one falls below the mark, they have no respect for their Diamond Level customers, the food at the Restaurant is over Priced for what you receive. There is no free or Discounted Breakfast, and no real incentive to eat Lunch or Dinner on property. the Internet works great, Beautiful Property and Housekeeping staff are very nice and courteous.
-1|-1|This was a terrible experience our room had nats and spiders in it. It smelled and the Air conditioned was filthy and did not work. It was disgusting and in need of renovation. I needed a new room and they did not want to accommodate me wanted to send maintenance, No way I already was late for our tour. After about 40 minutes they sent the manager who was absent every time I asked for him. And of course no one could help except him. He finally offered a new old room that smelled but the ac work. We had to move and of course had no time to get ready for our 515 tour. I will be contacting the hotel management to discuss this overpriced horrible experience not the local manager he never called me he didn't like me much after I told the folks checking in check their rooms for bugs!,
-1|-1|Gnats in room, I had bites all over my body and due to spraying of raid had a severe chemical reaction to my lungs. The walk ways should have been posted slippery due to sprinkler, someone could have had a serious fall. Table by pool area filthy. Mgr Scott was rude regarding my situation!!!! Will not recommend!!!! Food prices in hotel very high.
-1|-1|Awful hotel. Low quality for the price. Service was horrible, good luck trying to contact a manager to help solve really simple problems with your stay. The room I stayed in has terrible ventilation and low quality bed, sheets, towels, etc. I am most peeved by the service and wish I could say I had a better experience.,
-1|-1|The place was good, but upon checkout I was told they would apply my 40.00 gift card plus an email of my check out. Neither happened. The location is central and the room is good. We had a patio. The staff was not very helpful. The location is on hotel row with 20 other hotels you could chose from. You might try Hampton Inn or one of the others. It is right by the freeway.,
-1|-1|Warning:. Do not stay here if you have kids or simply don't mind having others watch you in your room through peepholes. Oct 13th to 16th stay. Peephole discovered above light, which is above sink in room 507. Sheriff's Dept. Notified at 830 am next morning. Staff didn't care and in fact smirked as though they didn't believe it. Corporate responded by email to my complaint stating that since credit card company agreed to reverse charges and police had been contacted, they weren't going to pursue matter, implying somehow that I shouldn't have told in them. Absolutely gross! You have been warned! Stay at own risk! I will update further once the police investigation has completed. Check out the pics of the room, 507. Attached.,
-1|-1|Not what we were expecting from a Best Western. Stayed here with my family of 4 because it was near the zoo and was expecting better from a Best Western. Room with 2 double beds was extremely small, hotel was quite dated and we felt uncomfortable. Thought we could get a roll-away bed with our room but they said it would not fit, They were correctm we could barely move in this tiny, tiny room! Will not stay here again.
-1|-1|my name is stephanie me and my boyfrien booked this hotel for 4 days i woke up to a silver fish in my bed in top of my arm this mornin january 6 2012 to my luck on my birthday i have a rash in my leg i found 2 of them ... i understand they are bugs but to find them in my bed thats not goood .. i placed them in a container and walk to the front dest i told the front desk girl and she said it was just like a spider .. are u kidding me i cant belive she just said that im very upset i would understad if i would of found them in the bathroom floor or else were buut no it had to be in my bed :( i reserch them and it falls in the bed bugs list ...... the phone dident work they wount even let u reheat your food .... the dinner food is grosse and expensive not a good place to stay in .
-1|-1|I will start with the major issue. This Best Western has no staff that reads of que. It is almost as if they are responding by a written list, like a customer support rep from India would. They repeat the same answer over and over rather than trying to listen to you and work on something. I stayed for a week, and during the week I complained that what was supposed to be a queen bed was not. IT was clearly not a queen bed. I am not stupid, I sleep in a queen at home. But the staff was insistent. The manager offered me 25 off per night, which I accepted. But here comes the major issue. On the 13th at departure my card was charged, and the charge approved by the bank for the total bill with the discount. In the next two days a second charge for the exact same amount, but as a different transaction. The accountant Ms. Loupe like all the staff there insisted this is normal, it's just a hold of funds. What funds You already got the money, it's gone from my account to yours. If I had not had the funds in my bank to cover this unwarranted second charge. I would be severely over drawn, and subject to many many fees. This is extremely unprofessional and unacceptable. No hotel should do this, no hotel does this. But they did. Supposedly the charge will drop, but even if it does I am still very unhappy. You can ruin peoples credit by doing this to them. I will talk briefly about everything else. The hotel is older, but well maintained. Parking is plentiful by narrow. During the day behind the office building where the laundry is, the day staff leave a wooden gate open, which extends slightly past the fence. It is extremely tight and difficult to squeeze between it and any parked cars. Additionally there was no handicap parking convenient to the handicap room. The bed was alright, but clearly not the size advertised, as I stated prior. The housekeeper who usually did our rooms was extremely nice, she offered my partner extra coffee for the room, and even asked if we wanted the beds made. As we prefer to use our own blankets. The hotel itself was nice, but there were just so many big errors. I will never stay at this hotel again.
-1|-1|On a good note, this place has nice hot water, the AC keeps the room nice and cold, the staff are helpful, room service seemed to be very efficient, the beds are comfortable enough, and the one meal I had here was pretty good.On the flip side, our room had bugs (most likely due to the gaping crack around the door), a lot of the outlets did not work, the tub always looked like it had sand in the bottom, and the carpeting looks like it is in bad need of replacement.Solely based on my experience, I cannot recommend this place to anyone.,
-1|-1|bad sound insulation, housekeeping sucks, the new stuff that we bought got throw away... yogurt been spill on the floor
-1|-1|Bed bugs. Room too small. Too expensive When I was going to sleep, I found some bed bugs in my bed. It's terrible!
-1|-1|I can't sleep all the night because it's too noisy, and I am still afraid of the bugs.
-1|-1|Bed is too small for two people and the blanket is too thin. The staff are just ok not very friendly though
-1|-1|Bed was a bit hard. Breakfast was all carbs, but was better than nothing.
-1|-1|Breakfast a bit simple, but plenty of places to eat in the local area. Also, the safe in our room didn't seem to work, but it wasn't a big deal.
-1|-1|breakfast could be improved.
-1|-1|Breakfast is poor.
-1|-1|the omelets were watery and tasted odd and the pool was small.
-1|-1|The only draw back is the noise at night from th people coming in and out of the lounge and adjacent nightclub. Though it didn't bother us personally.
-1|-1|The only issue I had was there not being a microwave/refrigerator in the room.
-1|-1|assigned an accessible room without being told. tried to book room direct with hotel but was told tat they could not match thebooking.com rate (even though we were starwood members.. ).
-1|-1|Second year I have stayed at this hotel. I have business in the area and it is convenient for me. Morning free breakfast is very good, hot, fresh and a large selection. Typical motel setting with free parking. Bed was very comfortable. I wasn't happy with the cleanliness this visit. My white socks were pretty dirty after walking around in the room. On check out I told them of 2 issues I felt needed to be resolved. They made a note of that. 2nd day, I returned to my room at 10 p.m. and housekeeping didn't freshen my room. Upon checkout I told the Front Desk, and they said, If you have a Do Not Disturb sign on your door at 9 a.m., they by-pass your room and don't come back. When I told them I removed the sign at 10:15 a.m. when I went to work for the day, Front Desk basically said, that's their policy. I find that policy totally inconsiderate. Next time in the area, I will seek another hotel.
1|1|Stay at The Whitney to capture a sense of the historry of New Orleans with its actual bank vault door decor, and location that is right in the heart of New Orleans great for business but close to the French Quarter for fun. It's clean, comfortable, has amenities, and is a great location, friendly too.
-1|1|Overall, good trip. Clean and friendly! It was mid summer when we stayed and we prefer ice cold room. Couldn't get it cool enough. Bed was comfy. Pillows a bit too thick for us. Cold water at faucet was warm to hot. Shower temp was perfectly hot. Would recommend more mirrors in room. A safe would be good addition and fridge. Enjoyed continental breakfast. Would stay at this beautiful hotel again.,
-1|1|Our recent stay at the Whitney was overwhelmingly nice. The hotel is housed in the historic old Whitney Bank Building. The reception desk was once the teller desk and the old vault is located in the lobby. Our suite was very large with two rooms. The master bedroom was quite spacious and was separated from the sitting area by French doors. The sitting area had a sofa bed it's own television. The bathroom was also very spacious. The hotel offers free internet as well as complimentary coffee. There is a restaurant located in the lobby. The staff was very helpful and courteous. The hotel is located right off of Saint Charles Avenue which is very convenient during Mardi Gras and only a half a mile from the French Quarter. I will be staying again!!!
-1|1|I have stayed at the Whitney many times for business, back when it was a Wyndham property and now that it is a New Orleans Collection Hotel. Staff is friendly and efficient, rooms are clean. At some point soon they will need to address carpet as it is getting dated, but OK now. Bar downstairs is good as is restaurant. We ate breakfast a couple of times at Cafe on the Square around the corner and had good experiences.
1|1|We thoroughly enjoyed our stay at The Whitney. The beds were very comfortable. The location is superb. It is walking distance to everything we did, French Quarter, Bourbon Street, shopping, Harrah's, etc. We will definitely stay here during our next trip to New Orleans. The staff was rather gracious as well. Loved it!!!!
1|1|Super friendly and accommodating staff. Staff bent over backwards to assure we had a great stay. Always ice cold water, news papers and vacation information in the lobby. Great restaurant recommendations. We ubered from the airport 33-55 . You do not need a car in the city. Street car on one side of hotel. 2 blocks to French quarter and bourbon street. Near casino and ww2 museum. Beds super comfortable and hotel is really clean.,
1|1|We enjoyed the hotel. Location was great walking distance to many sites. Paying to park was a surprise, but we decided that was better than staying further away and worrying about parking.Hotel was absolutely beautiful. Very nicely maintained. No old hotel odor. Staff was friendly and accommodating. The room was nice, very comfortable kept very clean by friendly housekeeping staff. Lovely city view. Traffic noise was noticeable. Bathroom was good sized, had a great shower, and was nicely kept. Restaurant was beautiful. Food adequate but not exceptional. Limited hours. Service friendly but I actually got up to get my own coffee refills one morning even though only two tables had customers. Overall a great experience and we would definitely stay again and recommend it to others.,
-1|1|on the edge of the french quarter, easy access, courteous service, efficient, clean, valet parking, personalized welcome, correct price. Not for a romantic stay but perfectly fine for business or family stay,
-1|1|I found this hotel online, and it came highly recommended. It was convenient to everywhere in the city I wanted to go, though its location on Poydras street did mean the mornings were a little noisier than I expected due to the traffic, but you can't fault them for that. I had occasional difficulty with my room key working but still always got into my room. I didn't realize at booking that the hotel doesn't have a bar/restaurant and the room didn't have a refrigerator but that was my fault for not checking. Overall the staff was incredibly helpful, friendly, and made my stay. The hotel is very unique and original due to its history and not like every out-of-the-box hotel you find these days. It was nice to stay in a place with such character.
1|1|We had a wonderful stay at the Whitney hotel. The front desk staff headed by Patrick were the best that I have ever experienced. They were extremely helpful in making reservations at great restaurants, guided us through the craziness of Mardi Gras and were always friendly and helpful in every way. The rates were a good value and the location was ideal.,
-1|1|Spontaneous weekend getaway. Estes Park Condos did not disappoint. This place is even more magical than the website makes it seem! Staff was very accommodating with our late check in and check out. We stayed at Antlers Point 5, private hot tub, grill, fireplace, HBO, dvd player, full bathroom and full kitchen. Very cozy and welcoming. Perfect for a couple
-1|1|I and my wife stayed here with two other couples. we had a loft, a queen bed, Another bedroom and a queen sleeper sofa in the living room. All areas had TV's. The condo overlooked the big Thompson river. you could here the river running at night. Very clean and everything is very nice .. all services worked..
-1|1|We rented a premium condo 2 bedroom hot tub to spend a weekend with our friends that were visiting us in Colorado from another country. The place was nice and clean,very spacious for the four of us. One bedroom was in the main floor with a full bathroom.( not inside the room). The second room was in the second floor,
-1|1|We only stayed one night but were pleased that the room was clean and quite. Bed was comfortable and the breakfast was good. The staff we encountered were all friendly. Had a good small town friendly atmosphere.
-1|1|Hampton Inn was, as usual, clean, staff was friendly. Breakfast was adequate. We had stayed at this facility approximately 3 years ago and found that it hasn't changed. Still a nice place to visit. Staff very willing to make any change to keep customer happy.
-1|1|Stayed 2 nights. Nice big room, very quiet room! Was on top floor. They have a happy hour from 5:30pm to 7 pm. Lots of food more like dinner than hor'd'ors. Drinks food, free popcorn and fountain drinks. NICE HOT breakfast
1|1|Our family of five spent two nights here on our way back to MO from UT. Beds were comfortable, bathroom was clean, breakfast and dinner menu were great. Pool and hot tub were clean and well maintained. Staff was friendly and attentive.
-1|1|We stayed one what was a shame. When we checked in we spoke to Ian on desk this man was so helpful. We had free dinner. Three drinks free. Also free soft drinks. The hotel is so good. The spa and pool. Excellent.
1|1|We stayed in a king bed suite here while settling on our home in Colorado Springs. It was nice to have a spacious living area (with sofa bed for our son) and comfortable, quiet bedroom. ,
1|1|Another great trip at the Drury Inn. Clean and nice rooms and common areas. All of the female staff were very nice and friendly. Indoor pool and hot tub. Kickback is a nice feature. Great snacks/food in the evening: hot dogs, nachos, chicken fingers, salad
1|1|Clean, spacious, and quiet rooms. Very comfortable accommodations. Breakfast was good for a free buffet style breakfast. I will stay here again. I will also recommend this hotel to friends. This is in a good location to take in the sites around the area.
1|1|The lobby is large and beautifully decorated. The desk staff friendly. The room is well appointed with a great bed and pillows. The bathroom is great really loved the soft towels and the walk into shower with wall dispensers for soap, shampoo and conditioner,
1|1|Drury Inn Suites near the AF Academy is a GEM!! The staff is SUPER friendly! So are the rooms!The Breakfast is SUPER great variety - and so is the EVENING FEAST! and INCLUSIVE LIQUIDS!!!
-1|1|Our organization arranged for our out-of-town Board members to stay at Drury Inn Suites for a Board Meeting, which we also held in one of the Drury Conference Rooms. The management and staff of the Drury Inn provided excellent service and accommodations,
1|1|Our stay was great at the Drury Inn. Stayed on the 7th floor in a king deluxe. The staff were all very nice and courteous. The breakfast was good as well. Also offered free food and drinks from 530pm-7pm. The Hearty Chili was very good.
-1|1|We stayed at the Drury Inn and Suites Colorado Springs for one night. We specifically chose the Drury Inn chain due to a good experience at the Drury Inn Denver Tech Center last summer. We were not disappointed. The hotel was clean, modern,
1|1|We were introduced to Drury Hotels by an acquaintance. Now we stay everywhere that has one on our trip route. Colorado Springs is a good example of the best of the best. It is beyond clean the staff are helpful, friendly, and polite.
-1|1|First, this was the first time I have ever stayed at a Drury Inn, and I am here to say it was absolutely the best choice I made for this trip. It was within 7 minutes of where I needed to be, it is clean
1|1|This hotel has a great view of Pikes Peak. It's right up there with the rest of the Drury Hotels. Very clean. Friendly staff. There are a lot of restaurant options nearby. Unfortunately for me most of them are restaurants I have in my hometown.
-1|1|This is a great hotel! Our first time staying at a Drury Inn but definitely won't be our last! The Hotel was in great condition. My kids loved the indoor/outdoor pool and the hot tub. The happy hour was amazing and had so much food
-1|1|From the moment we checked in until we left two days later we had excellent service from everyone. Our room on the fifth floor had amazing views over the mountains. The room was very clean and everywhere in the hotel was clean and tidy. Brian
-1|1|This is a new location and staff is friendly and attentive. I know what I'll get each time I stay and that is a good stay in a nice room. Food for breakfast and evening happy hour is good. This place is always clean
-1|1|We have never stayed here before but decided to give it a try based on the reviews we read. The staff was amazing. The room is bright, clean, and comfortable. The free breakfast and happy hour, along with the popcorn was a bonus and helpful
1|1|I booked our room the night before we stayed after reading the reviews. Although it seemed a little pricey, it was the best price in the area for the busy season. We came after a day at RMNP. Great location, not in the middle of busy downtown Estes Park but close if you want to enjoy the town.
1|1|nice clean hotel. Near WIU campus. Front desk very helpful, after traveling all day able to check into our room early. Rooms very clean Breakfast was nice, hot and plentiful not far from stores and places to eat dinner
1|1|My daughter and I stayed at the Hampton Inn during a visit to WIU for Audition Day! Perfect Experience! Comfy, clean beds with fluffy comforters and great pillows. Totally updated bathroom with fine finishes. Breakfast was awesome and the dining area was so nice. We will be back again,
1|1|Room was very clean and well appointed. Everything you need for an extended stay. Bed was very comfy. Front desk was extremely accommodating. I had a very late check-in due to another engagement and there was no issue. Highly recommend.
-1|1|We were at the Club Pulse for just one night. Everything was perfect, staff at the front desk were very friendly and knowledgeable, everyone we ran into was professional and nice, the room was super comfy. We had a suite with a kitchenette (microwave, refrig with freezer unit, coffee maker, dishes, flatware, glasses for water and wine), 2 televisions - one in the bedroom the other in the living room. The seating was very comfortable and a table to eat. I highly recommend this property. We were in town to see the play Hamilton, we were easily able to walk to the Gas Lamp for dinner and then to the Civic Theater.
1|1|My wife and I stayed this past weekend at the Marriott Pulse. Nice hotel with great amenities. Good location in downtown San Diego. Only 4 blocks to the gaslamp district with many choices of restaurants in the area. 1 bedroom unit is a little small compared to other Vacation Club properties so would be tight if 4 are staying in one of these units.
-1|1|We ended our San Diego stay here, with 4 nights. Staff was very friendly and accommodating. Room was comfortable, and, surprisingly, the pull out sofa bed was the most comfortable I have slept on. The fitness center was clean, and had a good variety of equipment. The parking fee is steep, but standard for a large city. Good luck going around the spiral getting in and out of the garage. Easy access to everywhere we needed to go.
1|1|Stayed here September 2018 for 7 nights hotel was amazing and should be rated a 5 star plus everything was perfect fantastic rooms amazing staff first class facilities great location close to all local attractions would highly recommend.
1|1|My wife and I stayed here with our 2 grandchildren for 5 days in April. The room amenities are very nice with very comfortable bedding and living area. The Kitchen area is small, however, with a small mini refrigerator and microwave so if you are planning to eat many meals in your room, this is not the hotel for that. We walked to Little Italy, the Gas Lamp area, PETCO Park and to the USS Midway. Very convenient to all locations. They have Valet parking and a restaurant on property although we did not use it. They also have a fitness area and a indoor pool.Steve, thank you for a perfect review! We are so happy to hear you and your family enjoyed your stay with us here in San Diego. We hope you will visit us again sometime.
